pnum	cond	param	cat	value
1	1	contSD	NA	12.1801975510091
2	1	contSD	NA	19.7025297325933
3	1	contSD	NA	12.4747110002783
4	1	contSD	NA	12.2004680882753
5	1	contSD	NA	13.2196496617285
6	1	contSD	NA	10.2713380458193
7	1	contSD	NA	10.0891834074294
8	1	contSD	NA	9.55238285623865
9	1	contSD	NA	12.8499075400239
10	1	contSD	NA	6.47430703905523
11	1	contSD	NA	13.7086663835498
12	1	contSD	NA	12.9499968036873
13	1	contSD	NA	11.4227314942964
14	1	contSD	NA	14.406251724884
15	1	contSD	NA	16.5150702508797
16	1	contSD	NA	13.8186163209224
17	1	contSD	NA	9.4504771584331
18	1	contSD	NA	11.0911357668218
19	1	contSD	NA	11.9290361865812
20	1	contSD	NA	19.343436652607
1	2	contSD	NA	14.1801975510091
2	2	contSD	NA	21.7025297325933
3	2	contSD	NA	14.4747110002783
4	2	contSD	NA	14.2004680882753
5	2	contSD	NA	15.2196496617285
6	2	contSD	NA	12.2713380458193
7	2	contSD	NA	12.0891834074294
8	2	contSD	NA	11.5523828562387
9	2	contSD	NA	14.8499075400239
10	2	contSD	NA	8.47430703905523
11	2	contSD	NA	15.7086663835498
12	2	contSD	NA	14.9499968036873
13	2	contSD	NA	13.4227314942964
14	2	contSD	NA	16.406251724884
15	2	contSD	NA	18.5150702508797
16	2	contSD	NA	15.8186163209224
17	2	contSD	NA	11.4504771584331
18	2	contSD	NA	13.0911357668218
19	2	contSD	NA	13.9290361865812
20	2	contSD	NA	21.343436652607
1	3	contSD	NA	22.1801975510091
2	3	contSD	NA	29.7025297325933
3	3	contSD	NA	22.4747110002783
4	3	contSD	NA	22.2004680882753
5	3	contSD	NA	23.2196496617285
6	3	contSD	NA	20.2713380458193
7	3	contSD	NA	20.0891834074294
8	3	contSD	NA	19.5523828562387
9	3	contSD	NA	22.8499075400239
10	3	contSD	NA	16.4743070390552
11	3	contSD	NA	23.7086663835498
12	3	contSD	NA	22.9499968036873
13	3	contSD	NA	21.4227314942964
14	3	contSD	NA	24.406251724884
15	3	contSD	NA	26.5150702508797
16	3	contSD	NA	23.8186163209224
17	3	contSD	NA	19.4504771584331
18	3	contSD	NA	21.0911357668218
19	3	contSD	NA	21.9290361865812
20	3	contSD	NA	29.343436652607
1	1	nCat	NA	0
2	1	nCat	NA	0
3	1	nCat	NA	0
4	1	nCat	NA	0
5	1	nCat	NA	0
6	1	nCat	NA	0
7	1	nCat	NA	0
8	1	nCat	NA	0
9	1	nCat	NA	0
10	1	nCat	NA	0
11	1	nCat	NA	0
12	1	nCat	NA	0
13	1	nCat	NA	0
14	1	nCat	NA	0
15	1	nCat	NA	0
16	1	nCat	NA	0
17	1	nCat	NA	0
18	1	nCat	NA	0
19	1	nCat	NA	0
20	1	nCat	NA	0
1	1	pMem	NA	0.661492938140562
2	1	pMem	NA	0.80383231810219
3	1	pMem	NA	0.723696983763803
4	1	pMem	NA	0.821230613552584
5	1	pMem	NA	0.689636221693313
6	1	pMem	NA	0.874447982233398
7	1	pMem	NA	0.870022940298623
8	1	pMem	NA	0.777064538654827
9	1	pMem	NA	0.819709386189535
10	1	pMem	NA	0.844418506163659
11	1	pMem	NA	0.831833672642477
12	1	pMem	NA	0.657620114637245
13	1	pMem	NA	0.759490914195081
14	1	pMem	NA	0.899538656568402
15	1	pMem	NA	0.895881778764026
16	1	pMem	NA	0.891808789631995
17	1	pMem	NA	0.784903039811839
18	1	pMem	NA	0.67769312111338
19	1	pMem	NA	0.713117571136221
20	1	pMem	NA	0.695751463509571
1	2	pMem	NA	0.303635418576676
2	2	pMem	NA	0.477620182041027
3	2	pMem	NA	0.368856546476054
4	2	pMem	NA	0.506176518835581
5	2	pMem	NA	0.331461827542814
6	2	pMem	NA	0.608466946815668
7	2	pMem	NA	0.598966716994292
8	2	pMem	NA	0.437489053280003
9	2	pMem	NA	0.50359488811321
10	2	pMem	NA	0.547723916798496
11	2	pMem	NA	0.524649744602216
12	2	pMem	NA	0.300000922970006
13	2	pMem	NA	0.413355865794206
14	2	pMem	NA	0.666435923760725
15	2	pMem	NA	0.657524401214378
16	2	pMem	NA	0.647792883684691
17	2	pMem	NA	0.448797935724312
18	2	pMem	NA	0.319339343527187
19	2	pMem	NA	0.356766527676266
20	2	pMem	NA	0.337858431278823
1	3	pMem	NA	0.418229516733389
2	3	pMem	NA	0.601188792359517
3	3	pMem	NA	0.490719722304729
4	3	pMem	NA	0.628247837556251
5	3	pMem	NA	0.449774748435529
6	3	pMem	NA	0.719275895534259
7	3	pMem	NA	0.711188155004273
8	3	pMem	NA	0.561841998530645
9	3	pMem	NA	0.62583263931481
10	3	pMem	NA	0.666295759394254
11	3	pMem	NA	0.645354018339238
12	3	pMem	NA	0.414038902198386
13	3	pMem	NA	0.53740262151311
14	3	pMem	NA	0.767118048034532
15	3	pMem	NA	0.759927389040983
16	3	pMem	NA	0.752008213631109
17	3	pMem	NA	0.573090424637592
18	3	pMem	NA	0.436148147667477
19	3	pMem	NA	0.477658343674244
20	3	pMem	NA	0.456894168346821
