pnum	cond	param	cat	value
1	1	catMu	0	71.9674828011543
1	1	catMu	1	170.320670345798
1	1	catMu	2	25.0743208710104
1	1	catMu	3	238.915168706328
1	1	catMu	4	144.735657133162
1	1	catMu	5	288.114345221221
1	1	catMu	6	95.281347052753
1	1	catMu	7	359.930568344146
2	1	catMu	0	94.1371107146144
2	1	catMu	1	334.029563706368
2	1	catMu	2	290.162354227155
3	1	catMu	0	120.736055789888
3	1	catMu	1	264.888603130728
3	1	catMu	2	49.0823815751821
3	1	catMu	3	336.623463545367
3	1	catMu	4	240.142423859239
3	1	catMu	5	214.819781122729
3	1	catMu	6	194.289139299095
4	1	catMu	0	190.736461166292
4	1	catMu	1	72.6376832127571
4	1	catMu	2	49.7239667672664
4	1	catMu	3	23.0785433985293
4	1	catMu	4	238.181459245831
5	1	catMu	0	47.6213925004005
5	1	catMu	1	215.69338940531
5	1	catMu	2	25.6346847228706
5	1	catMu	3	97.4561488106847
5	1	catMu	4	70.4207964409143
5	1	catMu	5	314.192953360453
5	1	catMu	6	2.38173725344241
5	1	catMu	7	165.609000227228
5	1	catMu	8	288.663834252208
5	1	catMu	9	189.741876414791
5	1	catMu	10	263.6987519335
6	1	catMu	0	24.1392094887793
6	1	catMu	1	96.6282747868449
6	1	catMu	2	144.039682970569
6	1	catMu	3	218.073420130089
6	1	catMu	4	314.049752378091
6	1	catMu	5	48.0311203412712
6	1	catMu	6	70.5753883581609
6	1	catMu	7	191.918018928543
7	1	catMu	0	192.382778116688
7	1	catMu	1	118.791957835481
7	1	catMu	2	288.929885299131
7	1	catMu	3	262.902159412578
7	1	catMu	4	358.715675169602
7	1	catMu	5	97.0993631377816
7	1	catMu	6	168.394360629469
8	1	catMu	0	22.3796085566282
8	1	catMu	1	239.703988339752
8	1	catMu	2	169.774377128854
8	1	catMu	3	337.94591030851
8	1	catMu	4	72.0087038062513
8	1	catMu	5	1.1976669151336
8	1	catMu	6	285.674849123508
8	1	catMu	7	215.841486629471
8	1	catMu	8	310.445235815272
8	1	catMu	9	191.923548684642
8	1	catMu	10	48.4508102305233
9	1	catMu	0	95.4053779732436
9	1	catMu	1	287.698808665574
9	1	catMu	2	120.33404731527
9	1	catMu	3	74.3020353432745
9	1	catMu	4	144.394696998596
9	1	catMu	5	262.132598403096
9	1	catMu	6	216.664394936711
9	1	catMu	7	170.08558663018
10	1	catMu	0	166.374792036787
10	1	catMu	1	216.765922693536
10	1	catMu	2	69.6434177096933
11	1	catMu	0	96.9202778957784
11	1	catMu	1	119.809229115397
11	1	catMu	2	49.4153361920267
11	1	catMu	3	214.946414012834
11	1	catMu	4	73.2807799682021
11	1	catMu	5	238.746788515896
11	1	catMu	6	333.835779357702
11	1	catMu	7	166.858017866313
12	1	catMu	0	358.571514523029
12	1	catMu	1	262.949189154804
12	1	catMu	2	146.364103031158
12	1	catMu	3	46.7333785749972
12	1	catMu	4	72.0719105076045
12	1	catMu	5	23.6796348597854
13	1	catMu	0	286.754156188667
14	1	catMu	0	96.8344629094005
14	1	catMu	1	288.089067159221
14	1	catMu	2	313.717420544475
14	1	catMu	3	263.765787694976
14	1	catMu	4	335.24492187202
14	1	catMu	5	120.311804256588
14	1	catMu	6	46.7402916256338
14	1	catMu	7	143.027799723297
14	1	catMu	8	218.39070286788
14	1	catMu	9	70.6845487564802
15	1	catMu	0	119.665299052745
15	1	catMu	1	193.030613240227
15	1	catMu	2	165.643896634877
15	1	catMu	3	74.2829235490412
15	1	catMu	4	94.9742283705622
15	1	catMu	5	26.3340630121529
15	1	catMu	6	47.659689411521
15	1	catMu	7	0.496558274701238
15	1	catMu	8	309.727564289421
15	1	catMu	9	287.574011849239
16	1	catMu	0	21.7429771766067
16	1	catMu	1	264.219770411029
16	1	catMu	2	0.22069437392056
16	1	catMu	3	190.806711214408
16	1	catMu	4	49.6038804609328
16	1	catMu	5	72.5867617886513
16	1	catMu	6	217.732643207163
16	1	catMu	7	94.9365803919733
17	1	catMu	0	71.5453235607594
17	1	catMu	1	240.845380812138
17	1	catMu	2	120.813471836597
17	1	catMu	3	167.597106110305
17	1	catMu	4	142.322369281948
17	1	catMu	5	194.04153094478
17	1	catMu	6	357.621655291691
17	1	catMu	7	97.9687435649335
17	1	catMu	8	335.656407415867
17	1	catMu	9	287.531894598529
18	1	catMu	0	194.225901767984
18	1	catMu	1	72.5417354296893
18	1	catMu	2	120.305547815189
18	1	catMu	3	47.931457624957
18	1	catMu	4	95.5608298771083
18	1	catMu	5	217.925255713239
18	1	catMu	6	0.254372381418944
18	1	catMu	7	337.518872835115
18	1	catMu	8	241.740429951623
18	1	catMu	9	25.6402529966086
18	1	catMu	10	168.00576470308
18	1	catMu	11	288.183142909035
19	1	catMu	0	336.485360405222
19	1	catMu	1	264.624697110057
19	1	catMu	2	216.726800270006
19	1	catMu	3	313.019690496102
20	1	catMu	0	193.944371577725
20	1	catMu	1	167.13239954263
20	1	catMu	2	334.07729954347
20	1	catMu	3	25.9514002371579
20	1	catMu	4	310.073511915654
20	1	catMu	5	97.9908719088882
20	1	catMu	6	288.087538064271
20	1	catMu	7	264.745492904261
20	1	catMu	8	74.2727111991495
20	1	catMu	9	141.606227203086
1	1	catSD	NA	3.95102471866088
2	1	catSD	NA	10.6732939347847
3	1	catSD	NA	10.3272017526436
4	1	catSD	NA	5.10769415674362
5	1	catSD	NA	8.1797577636836
6	1	catSD	NA	7.38953775955752
7	1	catSD	NA	6.64341699271576
8	1	catSD	NA	10.7315818357814
9	1	catSD	NA	5.62865587792182
10	1	catSD	NA	6.7600688131351
11	1	catSD	NA	3.76440080357466
12	1	catSD	NA	6.39966460867478
13	1	catSD	NA	7.4970075656563
14	1	catSD	NA	11.3778750577824
15	1	catSD	NA	5.95625836138597
16	1	catSD	NA	8.39617266293031
17	1	catSD	NA	3.13735102336396
18	1	catSD	NA	5.48183374149563
19	1	catSD	NA	3.9722741825947
20	1	catSD	NA	9.99615412836034
1	1	catSelectivity	NA	10.6603352650859
2	1	catSelectivity	NA	11.7332319648172
3	1	catSelectivity	NA	9.86142841289458
4	1	catSelectivity	NA	13.463735694089
5	1	catSelectivity	NA	9.9301298173904
6	1	catSelectivity	NA	10.3244943438541
7	1	catSelectivity	NA	11.7407432708767
8	1	catSelectivity	NA	5.23887283553166
9	1	catSelectivity	NA	12.4241295203282
10	1	catSelectivity	NA	11.922436996082
11	1	catSelectivity	NA	6.28677587251491
12	1	catSelectivity	NA	10.3536505835511
13	1	catSelectivity	NA	8.63145346348793
14	1	catSelectivity	NA	11.0665005385001
15	1	catSelectivity	NA	11.5030339142338
16	1	catSelectivity	NA	6.02902687219921
17	1	catSelectivity	NA	6.74498924142565
18	1	catSelectivity	NA	9.95699822742903
19	1	catSelectivity	NA	7.4556709136391
20	1	catSelectivity	NA	12.7406575491163
1	1	contSD	NA	5.92942315198475
2	1	contSD	NA	5.43337585533909
3	1	contSD	NA	6.74241187273617
4	1	contSD	NA	7.4072264982467
5	1	contSD	NA	7.87783863244342
6	1	contSD	NA	15.7985572836395
7	1	contSD	NA	9.0470067148009
8	1	contSD	NA	14.4979732223854
9	1	contSD	NA	13.9218481561787
10	1	contSD	NA	16.9661794081723
11	1	contSD	NA	15.3681922208025
12	1	contSD	NA	10.8871011562275
13	1	contSD	NA	12.7384123089076
14	1	contSD	NA	5.23505776469796
15	1	contSD	NA	23.3920654241313
16	1	contSD	NA	13.7944180639179
17	1	contSD	NA	5.70397478334397
18	1	contSD	NA	11.540051639691
19	1	contSD	NA	12.3635408528766
20	1	contSD	NA	18.164460124281
1	2	contSD	NA	10.9294231519847
2	2	contSD	NA	10.4333758553391
3	2	contSD	NA	11.7424118727362
4	2	contSD	NA	12.4072264982467
5	2	contSD	NA	12.8778386324434
6	2	contSD	NA	20.7985572836395
7	2	contSD	NA	14.0470067148009
8	2	contSD	NA	19.4979732223854
9	2	contSD	NA	18.9218481561787
10	2	contSD	NA	21.9661794081723
11	2	contSD	NA	20.3681922208025
12	2	contSD	NA	15.8871011562275
13	2	contSD	NA	17.7384123089076
14	2	contSD	NA	10.235057764698
15	2	contSD	NA	28.3920654241313
16	2	contSD	NA	18.7944180639179
17	2	contSD	NA	10.703974783344
18	2	contSD	NA	16.540051639691
19	2	contSD	NA	17.3635408528766
20	2	contSD	NA	23.164460124281
1	3	contSD	NA	20.9294231519847
2	3	contSD	NA	20.4333758553391
3	3	contSD	NA	21.7424118727362
4	3	contSD	NA	22.4072264982467
5	3	contSD	NA	22.8778386324434
6	3	contSD	NA	30.7985572836395
7	3	contSD	NA	24.0470067148009
8	3	contSD	NA	29.4979732223854
9	3	contSD	NA	28.9218481561787
10	3	contSD	NA	31.9661794081723
11	3	contSD	NA	30.3681922208025
12	3	contSD	NA	25.8871011562275
13	3	contSD	NA	27.7384123089076
14	3	contSD	NA	20.235057764698
15	3	contSD	NA	38.3920654241313
16	3	contSD	NA	28.7944180639179
17	3	contSD	NA	20.703974783344
18	3	contSD	NA	26.540051639691
19	3	contSD	NA	27.3635408528766
20	3	contSD	NA	33.164460124281
1	1	nCat	NA	8
2	1	nCat	NA	3
3	1	nCat	NA	7
4	1	nCat	NA	5
5	1	nCat	NA	11
6	1	nCat	NA	8
7	1	nCat	NA	7
8	1	nCat	NA	11
9	1	nCat	NA	8
10	1	nCat	NA	3
11	1	nCat	NA	8
12	1	nCat	NA	6
13	1	nCat	NA	1
14	1	nCat	NA	10
15	1	nCat	NA	10
16	1	nCat	NA	8
17	1	nCat	NA	10
18	1	nCat	NA	12
19	1	nCat	NA	4
20	1	nCat	NA	10
1	1	pBetween	NA	0.438967801733372
2	1	pBetween	NA	0.633168570788678
3	1	pBetween	NA	0.616967679771312
4	1	pBetween	NA	0.544084896367076
5	1	pBetween	NA	0.326053141145353
6	1	pBetween	NA	0.373162998487331
7	1	pBetween	NA	0.310729790372124
8	1	pBetween	NA	0.409201205090583
9	1	pBetween	NA	0.540770108465763
10	1	pBetween	NA	0.648579670659255
11	1	pBetween	NA	0.675848788601133
12	1	pBetween	NA	0.59741884534653
13	1	pBetween	NA	0.422470715864832
14	1	pBetween	NA	0.301578279458683
15	1	pBetween	NA	0.475574286836968
16	1	pBetween	NA	0.491339572089209
17	1	pBetween	NA	0.468731602941138
18	1	pBetween	NA	0.462416235785269
19	1	pBetween	NA	0.676870515150141
20	1	pBetween	NA	0.376488373653437
1	2	pBetween	NA	0.680190579954495
2	2	pBetween	NA	0.824311256379125
3	2	pBetween	NA	0.814073204032587
4	2	pBetween	NA	0.764371709450274
5	2	pBetween	NA	0.568052333985817
6	2	pBetween	NA	0.618061596813249
7	2	pBetween	NA	0.550648272436775
8	2	pBetween	NA	0.653108556057436
9	2	pBetween	NA	0.761957819589728
10	2	pBetween	NA	0.833800019461595
11	2	pBetween	NA	0.850020169556941
12	2	pBetween	NA	0.801344973539466
13	2	pBetween	NA	0.665379607439601
14	2	pBetween	NA	0.539966182958364
15	2	pBetween	NA	0.711405358833239
16	2	pBetween	NA	0.72419264800725
17	2	pBetween	NA	0.705735807647856
18	2	pBetween	NA	0.700437243506368
19	2	pBetween	NA	0.850614252312824
20	2	pBetween	NA	0.621405880746333
1	3	pBetween	NA	0.438967801733372
2	3	pBetween	NA	0.633168570788678
3	3	pBetween	NA	0.616967679771312
4	3	pBetween	NA	0.544084896367076
5	3	pBetween	NA	0.326053141145353
6	3	pBetween	NA	0.373162998487331
7	3	pBetween	NA	0.310729790372124
8	3	pBetween	NA	0.409201205090583
9	3	pBetween	NA	0.540770108465763
10	3	pBetween	NA	0.648579670659255
11	3	pBetween	NA	0.675848788601133
12	3	pBetween	NA	0.59741884534653
13	3	pBetween	NA	0.422470715864832
14	3	pBetween	NA	0.301578279458683
15	3	pBetween	NA	0.475574286836968
16	3	pBetween	NA	0.491339572089209
17	3	pBetween	NA	0.468731602941138
18	3	pBetween	NA	0.462416235785269
19	3	pBetween	NA	0.676870515150141
20	3	pBetween	NA	0.376488373653437
1	1	pCatGuess	NA	0.385026157553738
2	1	pCatGuess	NA	0.299711282176254
3	1	pCatGuess	NA	0.276968838763618
4	1	pCatGuess	NA	0.500624755685602
5	1	pCatGuess	NA	0.722143375519888
6	1	pCatGuess	NA	0.764599273664073
7	1	pCatGuess	NA	0.586275487086009
8	1	pCatGuess	NA	0.397713086421961
9	1	pCatGuess	NA	0.388997926549968
10	1	pCatGuess	NA	0.592999025151652
11	1	pCatGuess	NA	0.384677298378064
12	1	pCatGuess	NA	0.71071862534793
13	1	pCatGuess	NA	0.234203182017628
14	1	pCatGuess	NA	0.513831709537047
15	1	pCatGuess	NA	0.657787746310751
16	1	pCatGuess	NA	0.547951451417924
17	1	pCatGuess	NA	0.447000408686594
18	1	pCatGuess	NA	0.534334510745466
19	1	pCatGuess	NA	0.777474445503916
20	1	pCatGuess	NA	0.223348336718422
1	1	pContBetween	NA	0.335142015865993
2	1	pContBetween	NA	0.528011628138609
3	1	pContBetween	NA	0.735912172246912
4	1	pContBetween	NA	0.44660824953749
5	1	pContBetween	NA	0.441032441543349
6	1	pContBetween	NA	0.514165315512617
7	1	pContBetween	NA	0.542964375390313
8	1	pContBetween	NA	0.34362091898339
9	1	pContBetween	NA	0.160834503430595
10	1	pContBetween	NA	0.35012885823234
11	1	pContBetween	NA	0.706837439560324
12	1	pContBetween	NA	0.72915846466984
13	1	pContBetween	NA	0.897994840513418
14	1	pContBetween	NA	0.627901599017312
15	1	pContBetween	NA	0.533356961563295
16	1	pContBetween	NA	0.416160286181554
17	1	pContBetween	NA	0.534618987613262
18	1	pContBetween	NA	0.571404860380242
19	1	pContBetween	NA	0.263970447454834
20	1	pContBetween	NA	0.680514853232333
1	2	pContBetween	NA	0.578100576784586
2	2	pContBetween	NA	0.752532319779249
3	2	pContBetween	NA	0.883379420863555
4	2	pContBetween	NA	0.686889151414495
5	2	pContBetween	NA	0.682010567137017
6	2	pContBetween	NA	0.742054894358986
7	2	pContBetween	NA	0.76355731697696
8	2	pContBetween	NA	0.587296547270157
9	2	pContBetween	NA	0.342531769257176
10	2	pContBetween	NA	0.594241380873957
11	2	pContBetween	NA	0.867619561769471
12	2	pContBetween	NA	0.879780919438046
13	2	pContBetween	NA	0.959887994531608
14	2	pContBetween	NA	0.821012906024007
15	2	pContBetween	NA	0.756507504005922
16	2	pContBetween	NA	0.659584689924153
17	2	pContBetween	NA	0.757440485964035
18	2	pContBetween	NA	0.783738187761298
19	2	pContBetween	NA	0.493642063858047
20	2	pContBetween	NA	0.852725420521197
1	3	pContBetween	NA	0.234150950825548
2	3	pContBetween	NA	0.40423833766635
3	3	pContBetween	NA	0.628276265020449
4	3	pContBetween	NA	0.32863078408836
5	3	pContBetween	NA	0.323666419599209
6	3	pContBetween	NA	0.390949314289936
7	3	pContBetween	NA	0.41879606227495
8	3	pContBetween	NA	0.241000992246694
9	3	pContBetween	NA	0.104141489813125
10	3	pContBetween	NA	0.246294664670434
11	3	pContBetween	NA	0.593890815793194
12	3	pContBetween	NA	0.620190569251775
13	3	pContBetween	NA	0.842260037245772
14	3	pContBetween	NA	0.505806020684406
15	3	pContBetween	NA	0.409417559957787
16	3	pContBetween	NA	0.301838995660736
17	3	pContBetween	NA	0.410644393316892
18	3	pContBetween	NA	0.447095086406657
19	3	pContBetween	NA	0.178662858399523
20	3	pContBetween	NA	0.563686903549215
1	1	pContWithin	NA	0.5
2	1	pContWithin	NA	0.5
3	1	pContWithin	NA	0.5
4	1	pContWithin	NA	0.5
5	1	pContWithin	NA	0.5
6	1	pContWithin	NA	0.5
7	1	pContWithin	NA	0.5
8	1	pContWithin	NA	0.5
9	1	pContWithin	NA	0.5
10	1	pContWithin	NA	0.5
11	1	pContWithin	NA	0.5
12	1	pContWithin	NA	0.5
13	1	pContWithin	NA	0.5
14	1	pContWithin	NA	0.5
15	1	pContWithin	NA	0.5
16	1	pContWithin	NA	0.5
17	1	pContWithin	NA	0.5
18	1	pContWithin	NA	0.5
19	1	pContWithin	NA	0.5
20	1	pContWithin	NA	0.5
1	1	pMem	NA	0.743226625965275
2	1	pMem	NA	0.7185239421258
3	1	pMem	NA	0.75060604036014
