pnum	cond	param	cat	value
1	1	catMu	0	310.612152732164
1	1	catMu	1	359.996556366608
1	1	catMu	2	237.830797022581
2	1	catMu	0	69.8679874856025
2	1	catMu	1	24.5983816064894
2	1	catMu	2	0.184218781068921
2	1	catMu	3	193.447795078531
2	1	catMu	4	94.8176738385111
2	1	catMu	5	168.07758690007
2	1	catMu	6	314.361083455011
2	1	catMu	7	118.642818949744
2	1	catMu	8	241.267090940103
2	1	catMu	9	336.604502717033
3	1	catMu	0	72.7516180906445
3	1	catMu	1	166.793679697439
3	1	catMu	2	96.1099860649556
3	1	catMu	3	334.069825974852
3	1	catMu	4	289.636340757832
3	1	catMu	5	240.312411736697
3	1	catMu	6	46.5445920623839
3	1	catMu	7	0.0607606653124093
3	1	catMu	8	189.953116445616
3	1	catMu	9	143.967482801154
4	1	catMu	0	95.1435083650053
4	1	catMu	1	290.218715982512
4	1	catMu	2	334.137110714614
4	1	catMu	3	214.029563706368
4	1	catMu	4	122.162354227155
5	1	catMu	0	217.082381575182
5	1	catMu	1	0.623463545367122
5	1	catMu	2	264.142423859239
5	1	catMu	3	22.8197811227292
5	1	catMu	4	290.289139299095
5	1	catMu	5	168.351907623187
5	1	catMu	6	238.706962627172
5	1	catMu	7	94.5677381627262
6	1	catMu	0	71.3851897325367
6	1	catMu	1	142.924102281779
6	1	catMu	2	290.381750420854
6	1	catMu	3	45.8748085230589
6	1	catMu	4	26.2627520263195
6	1	catMu	5	262.640748773888
6	1	catMu	6	309.622072045505
7	1	catMu	0	69.6090002272278
7	1	catMu	1	120.663834252208
7	1	catMu	2	213.741876414791
7	1	catMu	3	143.6987519335
7	1	catMu	4	310.091369305551
7	1	catMu	5	263.097568963096
8	1	catMu	0	48.0311203412712
8	1	catMu	1	142.575388358161
8	1	catMu	2	311.918018928543
8	1	catMu	3	240.396922571585
8	1	catMu	4	95.6350616332143
8	1	catMu	5	170.099625684321
8	1	catMu	6	338.308298248798
8	1	catMu	7	117.718620369583
8	1	catMu	8	215.722264526412
8	1	catMu	9	25.3613932203501
9	1	catMu	0	241.099363137782
9	1	catMu	1	48.3943606294692
9	1	catMu	2	189.966488262266
9	1	catMu	3	313.090677086636
9	1	catMu	4	0.36584860123694
10	1	catMu	0	335.62006264776
10	1	catMu	1	310.379608556628
10	1	catMu	2	167.703988339752
10	1	catMu	3	25.7743771288544
10	1	catMu	4	121.94591030851
10	1	catMu	5	144.008703806251
11	1	catMu	0	358.445235815272
11	1	catMu	1	311.923548684642
11	1	catMu	2	264.450810230523
12	1	catMu	0	287.698808665574
12	1	catMu	1	240.33404731527
12	1	catMu	2	74.3020353432745
12	1	catMu	3	120.394696998596
12	1	catMu	4	334.132598403096
12	1	catMu	5	216.664394936711
13	1	catMu	0	262.965583676845
13	1	catMu	1	287.63469549492
13	1	catMu	2	238.424258518964
13	1	catMu	3	49.5554534375668
13	1	catMu	4	335.240143809468
13	1	catMu	5	215.179128303006
13	1	catMu	6	0.0364364448934795
14	1	catMu	0	142.949189154804
14	1	catMu	1	98.3641030311585
14	1	catMu	2	70.7333785749972
14	1	catMu	3	216.071910507604
14	1	catMu	4	287.679634859785
14	1	catMu	5	193.530049351975
14	1	catMu	6	310.754156188667
14	1	catMu	7	23.1447936080396
14	1	catMu	8	121.819475839287
14	1	catMu	9	50.232117497921
14	1	catMu	10	2.01015241071582
15	1	catMu	0	288.8344629094
15	1	catMu	1	312.089067159221
15	1	catMu	2	97.7174205444753
15	1	catMu	3	143.765787694976
15	1	catMu	4	191.24492187202
16	1	catMu	0	23.0698715865612
16	1	catMu	1	359.632962179929
16	1	catMu	2	142.551072119549
16	1	catMu	3	335.160524680093
16	1	catMu	4	165.611450789496
16	1	catMu	5	311.5016219493
16	1	catMu	6	213.669287845865
16	1	catMu	7	47.6652990527451
17	1	catMu	0	166.974228370562
17	1	catMu	1	338.334063012153
17	1	catMu	2	23.659689411521
18	1	catMu	0	261.814685547352
18	1	catMu	1	312.976512847468
18	1	catMu	2	166.884828319028
18	1	catMu	3	143.150424035266
18	1	catMu	4	215.505251292139
19	1	catMu	0	192.220694373921
19	1	catMu	1	358.806711214408
19	1	catMu	2	337.603880460933
20	1	catMu	0	263.770840310678
20	1	catMu	1	194.378140277043
20	1	catMu	2	311.545323560759
20	1	catMu	3	72.8453808121383
20	1	catMu	4	96.8134718365967
20	1	catMu	5	215.597106110305
20	1	catMu	6	142.322369281948
