pnum	cond	param	cat	value
1	ALL_CONDS	catMu	0	60.890451347921
1	ALL_CONDS	catMu	1	180.639165880624
1	ALL_CONDS	catMu	2	147.078630836215
1	ALL_CONDS	catMu	3	120.424436302856
1	ALL_CONDS	catMu	4	208.116621578112
1	ALL_CONDS	catMu	5	359.870314477477
2	ALL_CONDS	catMu	0	88.699633824639
2	ALL_CONDS	catMu	1	239.453803912271
2	ALL_CONDS	catMu	2	332.093152291607
2	ALL_CONDS	catMu	3	179.676404108293
2	ALL_CONDS	catMu	4	212.008358262945
2	ALL_CONDS	catMu	5	152.874855007511
2	ALL_CONDS	catMu	6	302.530297620222
3	ALL_CONDS	catMu	0	179.710639156401
3	ALL_CONDS	catMu	1	1.25214168755338
3	ALL_CONDS	catMu	2	149.899537259247
3	ALL_CONDS	catMu	3	30.4942652396858
3	ALL_CONDS	catMu	4	237.940560570918
4	ALL_CONDS	catMu	0	357.339775925037
4	ALL_CONDS	catMu	1	270.638991847169
4	ALL_CONDS	catMu	2	238.725768844597
4	ALL_CONDS	catMu	3	119.662238066085
4	ALL_CONDS	catMu	4	91.7203661771491
4	ALL_CONDS	catMu	5	212.801835440565
5	ALL_CONDS	catMu	0	57.8774388609454
5	ALL_CONDS	catMu	1	330.724478954449
5	ALL_CONDS	catMu	2	270.891275608912
5	ALL_CONDS	catMu	3	1.81882410496473
5	ALL_CONDS	catMu	4	30.1995953279547
5	ALL_CONDS	catMu	5	207.076888262294
6	ALL_CONDS	catMu	0	211.359538131393
6	ALL_CONDS	catMu	1	239.200147407129
6	ALL_CONDS	catMu	2	357.499285028782
6	ALL_CONDS	catMu	3	177.92317659175
6	ALL_CONDS	catMu	4	29.0713464156725
6	ALL_CONDS	catMu	5	328.643362600822
6	ALL_CONDS	catMu	6	57.8444014093839
6	ALL_CONDS	catMu	7	88.7891567847691
7	ALL_CONDS	catMu	0	179.83222949272
7	ALL_CONDS	catMu	1	359.373806265648
7	ALL_CONDS	catMu	2	62.8639138229191
8	ALL_CONDS	catMu	0	152.305286836345
8	ALL_CONDS	catMu	1	208.867008247878
8	ALL_CONDS	catMu	2	332.527685503475
8	ALL_CONDS	catMu	3	61.0813989141025
8	ALL_CONDS	catMu	4	90.0353019176982
9	ALL_CONDS	catMu	0	357.017022797372
9	ALL_CONDS	catMu	1	297.254094307311
9	ALL_CONDS	catMu	2	31.5865878816694
9	ALL_CONDS	catMu	3	331.206303962041
9	ALL_CONDS	catMu	4	60.9699560869485
9	ALL_CONDS	catMu	5	89.3738241777755
10	ALL_CONDS	catMu	0	0.651466869749129
10	ALL_CONDS	catMu	1	147.252203281503
10	ALL_CONDS	catMu	2	61.3991873203777
10	ALL_CONDS	catMu	3	88.5170178506523
10	ALL_CONDS	catMu	4	177.748378453776
10	ALL_CONDS	catMu	5	300.725569840986
10	ALL_CONDS	catMu	6	117.097459446173
11	ALL_CONDS	catMu	0	297.506276379805
11	ALL_CONDS	catMu	1	182.189888319466
11	ALL_CONDS	catMu	2	237.686107508373
11	ALL_CONDS	catMu	3	207.633763126563
11	ALL_CONDS	catMu	4	62.5220313817263
11	ALL_CONDS	catMu	5	152.379584721755
12	ALL_CONDS	catMu	0	238.34986585658
12	ALL_CONDS	catMu	1	332.003979865462
12	ALL_CONDS	catMu	2	32.0413920544088
12	ALL_CONDS	catMu	3	302.33301920956
12	ALL_CONDS	catMu	4	148.911785142962
12	ALL_CONDS	catMu	5	120.552306365222
13	ALL_CONDS	catMu	0	28.7321895388886
13	ALL_CONDS	catMu	1	181.687419660855
13	ALL_CONDS	catMu	2	237.168354587629
13	ALL_CONDS	catMu	3	150.023272173945
13	ALL_CONDS	catMu	4	301.005078545306
13	ALL_CONDS	catMu	5	91.887666889932
14	ALL_CONDS	catMu	0	270.75730181532
14	ALL_CONDS	catMu	1	331.262948302086
14	ALL_CONDS	catMu	2	59.4957317090593
14	ALL_CONDS	catMu	3	209.267595858313
14	ALL_CONDS	catMu	4	149.770518240519
14	ALL_CONDS	catMu	5	121.915548190009
14	ALL_CONDS	catMu	6	2.98232678649947
14	ALL_CONDS	catMu	7	179.881532778963
15	ALL_CONDS	catMu	0	87.7403617473319
15	ALL_CONDS	catMu	1	118.493737915065
16	ALL_CONDS	catMu	0	149.762280707248
16	ALL_CONDS	catMu	1	207.236522309482
16	ALL_CONDS	catMu	2	177.775874923915
17	ALL_CONDS	catMu	0	31.9787999130785
17	ALL_CONDS	catMu	1	118.553240203299
17	ALL_CONDS	catMu	2	332.850053187925
17	ALL_CONDS	catMu	3	182.848883862142
17	ALL_CONDS	catMu	4	152.205622728914
17	ALL_CONDS	catMu	5	358.331230371259
