pnum	cond	param	cat	value
1	ALL_CONDS	catMu	0	120.4231018438
1	ALL_CONDS	catMu	1	31.6411384698004
1	ALL_CONDS	catMu	2	177.979768578429
1	ALL_CONDS	catMu	3	61.9270946430042
1	ALL_CONDS	catMu	4	149.204994695261
1	ALL_CONDS	catMu	5	298.109741998371
2	ALL_CONDS	catMu	0	327.416629758663
2	ALL_CONDS	catMu	1	62.347631639801
2	ALL_CONDS	catMu	2	212.716221464798
2	ALL_CONDS	catMu	3	240.350893339142
2	ALL_CONDS	catMu	4	297.326777632814
2	ALL_CONDS	catMu	5	90.9779761489481
3	ALL_CONDS	catMu	0	59.7915826574899
3	ALL_CONDS	catMu	1	269.96849003993
3	ALL_CONDS	catMu	2	120.679572271183
3	ALL_CONDS	catMu	3	329.58522126032
3	ALL_CONDS	catMu	4	0.391985615249723
3	ALL_CONDS	catMu	5	89.3057306245901
3	ALL_CONDS	catMu	6	149.423824290745
4	ALL_CONDS	catMu	0	329.799505675212
4	ALL_CONDS	catMu	1	119.010586738586
4	ALL_CONDS	catMu	2	211.618475805502
4	ALL_CONDS	catMu	3	62.7423516651616
4	ALL_CONDS	catMu	4	271.052708406933
4	ALL_CONDS	catMu	5	177.440538160969
5	ALL_CONDS	catMu	0	267.879113885108
5	ALL_CONDS	catMu	1	302.307195710018
5	ALL_CONDS	catMu	2	27.0907782171853
5	ALL_CONDS	catMu	3	120.032534449361
5	ALL_CONDS	catMu	4	88.4258960480802
6	ALL_CONDS	catMu	0	122.931105958298
6	ALL_CONDS	catMu	1	331.073326104786
6	ALL_CONDS	catMu	2	272.020437047817
6	ALL_CONDS	catMu	3	237.048510693479
6	ALL_CONDS	catMu	4	61.0508490842767
6	ALL_CONDS	catMu	5	149.757344295736
6	ALL_CONDS	catMu	6	31.7548387907445
6	ALL_CONDS	catMu	7	182.960007104091
7	ALL_CONDS	catMu	0	32.4875067388639
7	ALL_CONDS	catMu	1	120.169194627553
8	ALL_CONDS	catMu	0	149.500790098216
8	ALL_CONDS	catMu	1	300.900853693485
8	ALL_CONDS	catMu	2	90.9719731081277
8	ALL_CONDS	catMu	3	359.963124501519
9	ALL_CONDS	catMu	0	331.391176407225
9	ALL_CONDS	catMu	1	179.140340607148
9	ALL_CONDS	catMu	2	358.621584017761
9	ALL_CONDS	catMu	3	151.313123592641
9	ALL_CONDS	catMu	4	60.8607210656628
10	ALL_CONDS	catMu	0	297.722691207658
10	ALL_CONDS	catMu	1	57.8442835891619
10	ALL_CONDS	catMu	2	120.618407689501
10	ALL_CONDS	catMu	3	89.694123275578
10	ALL_CONDS	catMu	4	240.707031775732
10	ALL_CONDS	catMu	5	210.820376048796
11	ALL_CONDS	catMu	0	60.9762595086358
11	ALL_CONDS	catMu	1	267.23638738459
11	ALL_CONDS	catMu	2	211.551940193865
11	ALL_CONDS	catMu	3	359.352388220374
11	ALL_CONDS	catMu	4	241.221768470015
11	ALL_CONDS	catMu	5	29.735032602679
11	ALL_CONDS	catMu	6	301.937195874285
11	ALL_CONDS	catMu	7	328.9380616704
11	ALL_CONDS	catMu	8	181.596410864498
12	ALL_CONDS	catMu	0	88.4337426284328
12	ALL_CONDS	catMu	1	300.742629447486
12	ALL_CONDS	catMu	2	268.675872055348
12	ALL_CONDS	catMu	3	328.734781646635
12	ALL_CONDS	catMu	4	358.388069280423
12	ALL_CONDS	catMu	5	57.1267075901851
12	ALL_CONDS	catMu	6	211.52902775025
12	ALL_CONDS	catMu	7	178.665947617963
13	ALL_CONDS	catMu	0	62.3152209743857
13	ALL_CONDS	catMu	1	148.748640690465
13	ALL_CONDS	catMu	2	178.034929866437
13	ALL_CONDS	catMu	3	270.849219233729
13	ALL_CONDS	catMu	4	330.281137551181
13	ALL_CONDS	catMu	5	120.397141361609
13	ALL_CONDS	catMu	6	237.912868082989
13	ALL_CONDS	catMu	7	357.243736110628
14	ALL_CONDS	catMu	0	268.604651420843
14	ALL_CONDS	catMu	1	150.367180666421
14	ALL_CONDS	catMu	2	300.046186689287
14	ALL_CONDS	catMu	3	2.09297860600054
14	ALL_CONDS	catMu	4	122.44608190516
15	ALL_CONDS	catMu	0	271.953165925574
15	ALL_CONDS	catMu	1	239.527273013256
15	ALL_CONDS	catMu	2	2.02298611449078
15	ALL_CONDS	catMu	3	182.825768737122
15	ALL_CONDS	catMu	4	209.960685633123
15	ALL_CONDS	catMu	5	88.2508172420785
15	ALL_CONDS	catMu	6	31.4830632456578
15	ALL_CONDS	catMu	7	59.7657965468243
15	ALL_CONDS	catMu	8	300.508041020483
16	ALL_CONDS	catMu	0	332.948828893248
16	ALL_CONDS	catMu	1	152.978295070119
16	ALL_CONDS	catMu	2	180.514422850683
16	ALL_CONDS	catMu	3	57.3812597868964
16	ALL_CONDS	catMu	4	118.990489632357
16	ALL_CONDS	catMu	5	208.456161255017
16	ALL_CONDS	catMu	6	299.653120066971
16	ALL_CONDS	catMu	7	0.340544685255736
16	ALL_CONDS	catMu	8	32.1349752098322
17	ALL_CONDS	catMu	0	31.9109150329605
17	ALL_CONDS	catMu	1	61.7179788001813
17	ALL_CONDS	catMu	2	121.417478071991
17	ALL_CONDS	catMu	3	1.79134459700435
18	ALL_CONDS	catMu	0	147.00518218847
18	ALL_CONDS	catMu	1	297.630649375264
18	ALL_CONDS	catMu	2	87.8215988427401
18	ALL_CONDS	catMu	3	60.890330594033
18	ALL_CONDS	catMu	4	207.737626430579
19	ALL_CONDS	catMu	0	119.125774968881
19	ALL_CONDS	catMu	1	151.618616421707
19	ALL_CONDS	catMu	2	211.451815907378
19	ALL_CONDS	catMu	3	242.878508083988
19	ALL_CONDS	catMu	4	329.315284516197
19	ALL_CONDS	catMu	5	359.305046722759
19	ALL_CONDS	catMu	6	61.228638864588
20	ALL_CONDS	catMu	0	359.683508964255
20	ALL_CONDS	catMu	1	119.517375085037
20	ALL_CONDS	catMu	2	62.142580952961
20	ALL_CONDS	catMu	3	267.510277746711
20	ALL_CONDS	catMu	4	298.759263243992
20	ALL_CONDS	catMu	5	179.146086039953
20	ALL_CONDS	catMu	6	212.224479436409
20	ALL_CONDS	catMu	7	87.8676637080498
20	ALL_CONDS	catMu	8	238.60390616348
20	ALL_CONDS	catMu	9	147.293700966518
21	ALL_CONDS	catMu	0	2.03787748189643
21	ALL_CONDS	catMu	1	87.7489311592653
21	ALL_CONDS	catMu	2	177.590175855439
21	ALL_CONDS	catMu	3	241.205909164622
21	ALL_CONDS	catMu	4	118.72569688037
21	ALL_CONDS	catMu	5	327.240337933414
21	ALL_CONDS	catMu	6	208.464350936003
21	ALL_CONDS	catMu	7	269.237302876543
21	ALL_CONDS	catMu	8	302.512329668272
22	ALL_CONDS	catMu	0	87.9911514669657
22	ALL_CONDS	catMu	1	1.79190123081207
22	ALL_CONDS	catMu	2	27.5117662581615
22	ALL_CONDS	catMu	3	152.85826993268
22	ALL_CONDS	catMu	4	181.727053037379
23	ALL_CONDS	catMu	0	300.123495584819
23	ALL_CONDS	catMu	1	270.295507603325
24	ALL_CONDS	catMu	0	241.353023346048
24	ALL_CONDS	catMu	1	181.307352921925
24	ALL_CONDS	catMu	2	152.116686909925
