pnum	cond	param	cat	value
1	1	catMu	0	214.612152732164
1	1	catMu	1	287.996556366608
1	1	catMu	2	357.830797022581
2	1	catMu	0	72.595648907125
2	1	catMu	1	143.973289605975
2	1	catMu	2	261.867987485602
2	1	catMu	3	288.598381606489
2	1	catMu	4	312.184218781069
2	1	catMu	5	241.447795078531
2	1	catMu	6	94.8176738385111
2	1	catMu	7	336.07758690007
2	1	catMu	8	218.361083455011
2	1	catMu	9	22.6428189497441
3	1	catMu	0	262.311494255438
3	1	catMu	1	193.742633033171
3	1	catMu	2	241.419900384173
3	1	catMu	3	120.71593769677
3	1	catMu	4	141.663487612456
3	1	catMu	5	336.751618090644
3	1	catMu	6	286.793679697439
3	1	catMu	7	0.109986064955592
3	1	catMu	8	310.069825974852
3	1	catMu	9	217.636340757832
4	1	catMu	0	194.320670345798
4	1	catMu	1	49.0743208710104
4	1	catMu	2	142.915168706328
4	1	catMu	3	0.735657133162022
4	1	catMu	4	120.114345221221
5	1	catMu	0	119.356181458756
5	1	catMu	1	145.442589002475
5	1	catMu	2	70.7047755271196
5	1	catMu	3	287.743466192856
5	1	catMu	4	242.021566233784
5	1	catMu	5	26.3225001968443
5	1	catMu	6	1.93176774457097
5	1	catMu	7	168.736055789888
6	1	catMu	0	238.706962627172
6	1	catMu	1	334.567738162726
6	1	catMu	2	190.11941825375
6	1	catMu	3	146.142650629207
6	1	catMu	4	46.7364611662924
6	1	catMu	5	216.637683212757
6	1	catMu	6	121.723966767266
7	1	catMu	0	94.9241022817791
7	1	catMu	1	26.3817504208535
7	1	catMu	2	45.8748085230589
7	1	catMu	3	194.26275202632
7	1	catMu	4	310.640748773888
7	1	catMu	5	69.622072045505
8	1	catMu	0	333.741876414791
8	1	catMu	1	119.6987519335
8	1	catMu	2	310.091369305551
8	1	catMu	3	239.097568963096
8	1	catMu	4	191.845475629717
8	1	catMu	5	25.4535744264722
8	1	catMu	6	263.726247918606
8	1	catMu	7	166.653093447536
8	1	catMu	8	359.5210505303
8	1	catMu	9	71.8892369482666
9	1	catMu	0	168.031120341271
9	1	catMu	1	190.575388358161
9	1	catMu	2	143.918018928543
9	1	catMu	3	264.396922571585
9	1	catMu	4	239.635061633214
10	1	catMu	0	334.791957835481
10	1	catMu	1	312.929885299131
10	1	catMu	2	358.902159412578
10	1	catMu	3	118.715675169602
10	1	catMu	4	193.099363137782
10	1	catMu	5	264.394360629469
11	1	catMu	0	22.0311561919749
11	1	catMu	1	238.921717404574
11	1	catMu	2	166.079851722345
12	1	catMu	0	287.703988339752
12	1	catMu	1	1.77437712885439
12	1	catMu	2	145.94591030851
12	1	catMu	3	312.008703806251
12	1	catMu	4	97.1976669151336
12	1	catMu	5	21.6748491235077
13	1	catMu	0	166.985557617992
13	1	catMu	1	48.4368380527943
13	1	catMu	2	143.155909606442
13	1	catMu	3	335.700281266496
