pnum	cond	param	cat	value
1	1	catMu	0	1.83038977906108
1	1	catMu	1	87.9865102646872
1	1	catMu	2	184.3716842914
1	1	catMu	3	269.743065861985
2	1	catMu	0	355.880735853687
2	1	catMu	1	89.521164980717
2	1	catMu	2	181.99072196614
2	1	catMu	3	269.920253243297
3	1	catMu	0	359.481924947351
3	1	catMu	1	94.1649158801883
3	1	catMu	2	180.962993821129
3	1	catMu	3	273.868250573985
4	1	catMu	0	354.544087618589
4	1	catMu	1	86.4719016747549
4	1	catMu	2	184.619621576741
4	1	catMu	3	266.258936340921
5	1	catMu	0	3.75300268270075
5	1	catMu	1	93.2564156558365
5	1	catMu	2	174.915643508546
5	1	catMu	3	268.484050079249
6	1	catMu	0	2.68558356910944
6	1	catMu	1	93.5976411653683
6	1	catMu	2	182.874936824664
6	1	catMu	3	275.187625019811
7	1	catMu	0	358.686365749687
7	1	catMu	1	92.9027324225754
7	1	catMu	2	180.828004871495
7	1	catMu	3	266.304812810384
8	1	catMu	0	1.57493929937482
8	1	catMu	1	89.2826684480533
8	1	catMu	2	183.154255047441
8	1	catMu	3	264.927356790751
9	1	catMu	0	2.11657571978867
9	1	catMu	1	92.2628250578418
9	1	catMu	2	181.893750971183
9	1	catMu	3	275.687711661682
10	1	catMu	0	359.700928277336
10	1	catMu	1	84.3092104168609
10	1	catMu	2	181.253146299161
10	1	catMu	3	274.469073663466
11	1	catMu	0	2.09077835362405
11	1	catMu	1	92.8859871793538
11	1	catMu	2	181.472499308176
11	1	catMu	3	274.678207604215
12	1	catMu	0	5.95836664829403
12	1	catMu	1	88.2291512824595
12	1	catMu	2	182.184693935327
12	1	catMu	3	270.304899930954
13	1	catMu	0	3.30642380286008
13	1	catMu	1	89.7492077769712
13	1	catMu	2	174.844298668206
13	1	catMu	3	273.311256590299
14	1	catMu	0	358.687549606897
14	1	catMu	1	94.3834940437227
14	1	catMu	2	175.052291113883
14	1	catMu	3	272.425720126368
15	1	catMu	0	0.44277433399111
15	1	catMu	1	89.7093079537153
15	1	catMu	2	176.795763515867
15	1	catMu	3	268.436494669877
16	1	catMu	0	357.896209194325
16	1	catMu	1	90.0432668561116
16	1	catMu	2	177.265236197971
16	1	catMu	3	264.912053461187
17	1	catMu	0	354.333647958934
17	1	catMu	1	85.2948390087113
17	1	catMu	2	177.44421230536
17	1	catMu	3	270.747776063159
18	1	catMu	0	5.50652921386063
18	1	catMu	1	90.3373493850231
18	1	catMu	2	185.500311926007
18	1	catMu	3	275.281405862421
19	1	catMu	0	3.50677154771984
19	1	catMu	1	84.8983951248229
19	1	catMu	2	176.87791523058
19	1	catMu	3	275.274175412022
20	1	catMu	0	357.299068501219
20	1	catMu	1	85.1392038334161
20	1	catMu	2	174.317108737305
20	1	catMu	3	268.96912203636
1	1	catSD	NA	13.3576055454542
2	1	catSD	NA	11.016370363981
3	1	catSD	NA	15.0130131772551
4	1	catSD	NA	14.3529868778255
5	1	catSD	NA	13.8777863845148
6	1	catSD	NA	17.4603530240804
7	1	catSD	NA	13.8737907997526
8	1	catSD	NA	11.1986823515504
9	1	catSD	NA	16.0156292579671
10	1	catSD	NA	19.7320668256176
11	1	catSD	NA	19.7501326767768
12	1	catSD	NA	12.7369830235008
13	1	catSD	NA	18.0274132572874
14	1	catSD	NA	18.3748276756111
15	1	catSD	NA	13.7686325020754
16	1	catSD	NA	11.8821712269401
17	1	catSD	NA	17.1011005193696
18	1	catSD	NA	18.7705785820063
19	1	catSD	NA	18.2687452993736
20	1	catSD	NA	13.9032446839772
1	1	catSelectivity	NA	14.8168870945664
2	1	catSelectivity	NA	22.5629627925633
3	1	catSelectivity	NA	23.947981399974
4	1	catSelectivity	NA	19.3574390243896
5	1	catSelectivity	NA	19.178690872344
6	1	catSelectivity	NA	21.5528089979696
7	1	catSelectivity	NA	38.3512630234876
8	1	catSelectivity	NA	25.0779082850321
9	1	catSelectivity	NA	24.9262528893353
10	1	catSelectivity	NA	10.1454263859424
11	1	catSelectivity	NA	22.2709344877209
12	1	catSelectivity	NA	30.1615801234199
13	1	catSelectivity	NA	21.7525500352736
14	1	catSelectivity	NA	26.2494880879079
15	1	catSelectivity	NA	22.217595894033
16	1	catSelectivity	NA	15.5503387020487
17	1	catSelectivity	NA	21.5803737077897
18	1	catSelectivity	NA	28.1504986210888
19	1	catSelectivity	NA	14.2677355747615
20	1	catSelectivity	NA	18.1883453655036
1	1	contSD	NA	14.0144821190819
2	1	contSD	NA	22.7391086237257
3	1	contSD	NA	23.5110561653351
4	1	contSD	NA	18.3037775808095
5	1	contSD	NA	33.3813928660311
6	1	contSD	NA	11.343072058884
7	1	contSD	NA	19.6780375759193
8	1	contSD	NA	12.3019278735003
9	1	contSD	NA	17.9964366467084
10	1	contSD	NA	12.9964338503026
11	1	contSD	NA	31.0282174399333
12	1	contSD	NA	8.58626025844779
13	1	contSD	NA	30.2660474666465
14	1	contSD	NA	16.4914731782848
15	1	contSD	NA	19.1108638210792
16	1	contSD	NA	32.4858576853446
17	1	contSD	NA	20.273610164823
18	1	contSD	NA	23.8219451394162
19	1	contSD	NA	17.1885864569105
20	1	contSD	NA	13.0952156522922
1	2	contSD	NA	26.0144821190819
2	2	contSD	NA	34.7391086237257
3	2	contSD	NA	35.5110561653351
4	2	contSD	NA	30.3037775808095
5	2	contSD	NA	45.3813928660311
6	2	contSD	NA	23.343072058884
7	2	contSD	NA	31.6780375759193
8	2	contSD	NA	24.3019278735003
9	2	contSD	NA	29.9964366467084
10	2	contSD	NA	24.9964338503026
11	2	contSD	NA	43.0282174399333
12	2	contSD	NA	20.5862602584478
13	2	contSD	NA	42.2660474666465
14	2	contSD	NA	28.4914731782848
15	2	contSD	NA	31.1108638210792
16	2	contSD	NA	44.4858576853446
17	2	contSD	NA	32.273610164823
18	2	contSD	NA	35.8219451394162
19	2	contSD	NA	29.1885864569105
20	2	contSD	NA	25.0952156522922
1	3	contSD	NA	20.0144821190819
2	3	contSD	NA	28.7391086237257
3	3	contSD	NA	29.5110561653351
4	3	contSD	NA	24.3037775808095
5	3	contSD	NA	39.3813928660311
6	3	contSD	NA	17.343072058884
7	3	contSD	NA	25.6780375759193
8	3	contSD	NA	18.3019278735003
9	3	contSD	NA	23.9964366467084
10	3	contSD	NA	18.9964338503026
11	3	contSD	NA	37.0282174399333
12	3	contSD	NA	14.5862602584478
13	3	contSD	NA	36.2660474666465
14	3	contSD	NA	22.4914731782848
15	3	contSD	NA	25.1108638210792
16	3	contSD	NA	38.4858576853446
17	3	contSD	NA	26.273610164823
18	3	contSD	NA	29.8219451394162
19	3	contSD	NA	23.1885864569105
20	3	contSD	NA	19.0952156522922
1	1	nCat	NA	4
2	1	nCat	NA	4
3	1	nCat	NA	4
4	1	nCat	NA	4
5	1	nCat	NA	4
6	1	nCat	NA	4
7	1	nCat	NA	4
8	1	nCat	NA	4
9	1	nCat	NA	4
10	1	nCat	NA	4
11	1	nCat	NA	4
12	1	nCat	NA	4
13	1	nCat	NA	4
14	1	nCat	NA	4
15	1	nCat	NA	4
16	1	nCat	NA	4
17	1	nCat	NA	4
18	1	nCat	NA	4
19	1	nCat	NA	4
20	1	nCat	NA	4
1	1	pCatGuess	NA	0.40362838294916
2	1	pCatGuess	NA	0.601290498443985
3	1	pCatGuess	NA	0.25278442974475
4	1	pCatGuess	NA	0.396968402493138
5	1	pCatGuess	NA	0.396659682270248
6	1	pCatGuess	NA	0.0796683657282253
7	1	pCatGuess	NA	0.432034665496298
8	1	pCatGuess	NA	0.266484917099133
9	1	pCatGuess	NA	0.398149230730876
10	1	pCatGuess	NA	0.275139491197729
11	1	pCatGuess	NA	0.0693918930596477
12	1	pCatGuess	NA	0.465733561018765
13	1	pCatGuess	NA	0.548647368690643
14	1	pCatGuess	NA	0.287483226315537
15	1	pCatGuess	NA	0.0798929034457865
16	1	pCatGuess	NA	0.744603925044569
17	1	pCatGuess	NA	0.399475790155223
18	1	pCatGuess	NA	0.507077924079692
19	1	pCatGuess	NA	0.657720072448998
20	1	pCatGuess	NA	0.542880610651035
1	1	pContBetween	NA	0.476091395638641
2	1	pContBetween	NA	0.939540352769012
3	1	pContBetween	NA	0.931924024738194
4	1	pContBetween	NA	0.700181411718095
5	1	pContBetween	NA	0.139460435115524
6	1	pContBetween	NA	0.951122149308909
7	1	pContBetween	NA	0.741434778734497
8	1	pContBetween	NA	0.924091842196103
9	1	pContBetween	NA	0.416965423368587
