pnum	cond	param	cat	value
1	1	catSD	NA	0
2	1	catSD	NA	0
3	1	catSD	NA	0
4	1	catSD	NA	0
5	1	catSD	NA	0
6	1	catSD	NA	0
7	1	catSD	NA	0
8	1	catSD	NA	0
9	1	catSD	NA	0
10	1	catSD	NA	0
11	1	catSD	NA	0
12	1	catSD	NA	0
13	1	catSD	NA	0
14	1	catSD	NA	0
15	1	catSD	NA	0
16	1	catSD	NA	0
17	1	catSD	NA	0
18	1	catSD	NA	0
19	1	catSD	NA	0
20	1	catSD	NA	0
21	1	catSD	NA	0
22	1	catSD	NA	0
23	1	catSD	NA	0
24	1	catSD	NA	0
25	1	catSD	NA	0
26	1	catSD	NA	0
27	1	catSD	NA	0
28	1	catSD	NA	0
29	1	catSD	NA	0
30	1	catSD	NA	0
1	1	catSelectivity	NA	0
2	1	catSelectivity	NA	0
3	1	catSelectivity	NA	0
4	1	catSelectivity	NA	0
5	1	catSelectivity	NA	0
6	1	catSelectivity	NA	0
7	1	catSelectivity	NA	0
8	1	catSelectivity	NA	0
9	1	catSelectivity	NA	0
10	1	catSelectivity	NA	0
11	1	catSelectivity	NA	0
12	1	catSelectivity	NA	0
13	1	catSelectivity	NA	0
14	1	catSelectivity	NA	0
15	1	catSelectivity	NA	0
16	1	catSelectivity	NA	0
17	1	catSelectivity	NA	0
18	1	catSelectivity	NA	0
19	1	catSelectivity	NA	0
20	1	catSelectivity	NA	0
21	1	catSelectivity	NA	0
22	1	catSelectivity	NA	0
23	1	catSelectivity	NA	0
24	1	catSelectivity	NA	0
25	1	catSelectivity	NA	0
26	1	catSelectivity	NA	0
27	1	catSelectivity	NA	0
28	1	catSelectivity	NA	0
29	1	catSelectivity	NA	0
30	1	catSelectivity	NA	0
1	1	contSD	NA	20.1571372875418
2	1	contSD	NA	21.8295899444782
3	1	contSD	NA	14.3219936055577
4	1	contSD	NA	27.9413932260129
5	1	contSD	NA	27.2805498095189
6	1	contSD	NA	15.8748911677778
7	1	contSD	NA	23.6786764560082
8	1	contSD	NA	23.3859516704394
9	1	contSD	NA	19.5292580185345
10	1	contSD	NA	20.0948844932955
11	1	contSD	NA	21.5612144381213
12	1	contSD	NA	11.0947530418296
13	1	contSD	NA	17.9254061233594
