pnum	cond	param	cat	value
1	1	catSD	NA	0
2	1	catSD	NA	0
3	1	catSD	NA	0
4	1	catSD	NA	0
5	1	catSD	NA	0
6	1	catSD	NA	0
7	1	catSD	NA	0
8	1	catSD	NA	0
9	1	catSD	NA	0
10	1	catSD	NA	0
11	1	catSD	NA	0
12	1	catSD	NA	0
13	1	catSD	NA	0
14	1	catSD	NA	0
15	1	catSD	NA	0
16	1	catSD	NA	0
17	1	catSD	NA	0
18	1	catSD	NA	0
19	1	catSD	NA	0
20	1	catSD	NA	0
21	1	catSD	NA	0
22	1	catSD	NA	0
23	1	catSD	NA	0
24	1	catSD	NA	0
25	1	catSD	NA	0
26	1	catSD	NA	0
27	1	catSD	NA	0
28	1	catSD	NA	0
29	1	catSD	NA	0
30	1	catSD	NA	0
1	1	catSelectivity	NA	0
2	1	catSelectivity	NA	0
3	1	catSelectivity	NA	0
4	1	catSelectivity	NA	0
5	1	catSelectivity	NA	0
6	1	catSelectivity	NA	0
7	1	catSelectivity	NA	0
8	1	catSelectivity	NA	0
9	1	catSelectivity	NA	0
10	1	catSelectivity	NA	0
11	1	catSelectivity	NA	0
12	1	catSelectivity	NA	0
13	1	catSelectivity	NA	0
14	1	catSelectivity	NA	0
15	1	catSelectivity	NA	0
16	1	catSelectivity	NA	0
17	1	catSelectivity	NA	0
18	1	catSelectivity	NA	0
19	1	catSelectivity	NA	0
20	1	catSelectivity	NA	0
21	1	catSelectivity	NA	0
22	1	catSelectivity	NA	0
23	1	catSelectivity	NA	0
24	1	catSelectivity	NA	0
25	1	catSelectivity	NA	0
26	1	catSelectivity	NA	0
27	1	catSelectivity	NA	0
28	1	catSelectivity	NA	0
29	1	catSelectivity	NA	0
30	1	catSelectivity	NA	0
1	1	contSD	NA	16.7100701441462
2	1	contSD	NA	18.824614459794
3	1	contSD	NA	16.1737397269792
4	1	contSD	NA	24.2560348246249
5	1	contSD	NA	24.7263840494637
6	1	contSD	NA	11.6470890234143
7	1	contSD	NA	19.1088514884748
8	1	contSD	NA	25.0387149533195
9	1	contSD	NA	14.5835328923425
10	1	contSD	NA	18.9090520747941
11	1	contSD	NA	18.8997904681074
12	1	contSD	NA	9.39005097184676
13	1	contSD	NA	19.9610399648889
