pnum	cond	param	cat	value
1	1	catMu	0	144.931725828722
1	1	catMu	1	238.66190987546
1	1	catMu	2	214.151976924576
2	1	catMu	0	238.128963910043
2	1	catMu	1	121.496113273315
2	1	catMu	2	190.188056172244
2	1	catMu	3	147.040169936419
3	1	catMu	0	193.452277282625
3	1	catMu	1	167.591593011841
4	1	catMu	0	191.186896734312
4	1	catMu	1	237.917969961651
5	1	catMu	0	120.676471122541
5	1	catMu	1	239.718285524286
5	1	catMu	2	191.392622396722
6	1	catMu	0	237.75828159228
6	1	catMu	1	189.699592547864
6	1	catMu	2	215.283366477303
6	1	catMu	3	144.967952430062
6	1	catMu	4	166.461747437343
7	1	catMu	0	122.966093522497
7	1	catMu	1	239.553436717018
7	1	catMu	2	212.850334208645
8	1	catMu	0	120.326560383663
8	1	catMu	1	190.63452578932
9	1	catMu	0	239.953542630188
9	1	catMu	1	168.154941959865
9	1	catMu	2	123.193656235002
9	1	catMu	3	213.535602488741
10	1	catMu	0	168.280528785288
10	1	catMu	1	236.105713960715
11	1	catMu	0	121.699437768199
11	1	catMu	1	237.863187332638
11	1	catMu	2	168.394848781265
11	1	catMu	3	214.748229887523
12	1	catMu	0	213.039042021334
12	1	catMu	1	168.931817428768
12	1	catMu	2	144.027743749134
13	1	catMu	0	123.472019868903
13	1	catMu	1	167.60444116462
14	1	catMu	0	122.620819787495
14	1	catMu	1	237.974980935454
14	1	catMu	2	193.03690181803
15	1	catMu	0	169.254537314735
15	1	catMu	1	236.033233157359
15	1	catMu	2	147.034443612955
15	1	catMu	3	191.874910627864
16	1	catMu	0	145.581282151677
16	1	catMu	1	168.959573449194
16	1	catMu	2	123.810200165957
17	1	catMu	0	167.166159406863
17	1	catMu	1	145.869842625968
17	1	catMu	2	239.44942781236
18	1	catMu	0	191.877231285349
18	1	catMu	1	145.491028188542
19	1	catMu	0	146.136914949678
19	1	catMu	1	212.833673355356
19	1	catMu	2	123.528835337609
20	1	catMu	0	216.409970475547
20	1	catMu	1	191.64559019953
20	1	catMu	2	144.685992406495
20	1	catMu	3	166.506122707017
1	1	catSD	NA	10.3192519464872
2	1	catSD	NA	5.95237724633149
3	1	catSD	NA	4.87889970479844
4	1	catSD	NA	8.38436477615583
5	1	catSD	NA	12.2691564835721
6	1	catSD	NA	6.91476146598852
7	1	catSD	NA	8.03631798576555
8	1	catSD	NA	13.8306075069826
9	1	catSD	NA	5.57911755177806
10	1	catSD	NA	12.8390879149861
11	1	catSD	NA	5.43139726215328
12	1	catSD	NA	6.94765431096833
13	1	catSD	NA	6.67357965617236
14	1	catSD	NA	5.95180217231697
15	1	catSD	NA	7.6769968032193
16	1	catSD	NA	5.54162804463818
17	1	catSD	NA	8.00751352095689
18	1	catSD	NA	8.2241574962676
19	1	catSD	NA	7.31916707862383
20	1	catSD	NA	7.83283618642366
1	1	catSelectivity	NA	12.0450990261463
2	1	catSelectivity	NA	8.39863098525008
3	1	catSelectivity	NA	13.757842792251
4	1	catSelectivity	NA	12.805669745916
5	1	catSelectivity	NA	7.96293405435317
6	1	catSelectivity	NA	11.539947779023
7	1	catSelectivity	NA	10.9379350471468
8	1	catSelectivity	NA	6.70544836037691
9	1	catSelectivity	NA	12.5981486321018
10	1	catSelectivity	NA	5.98030780966056
11	1	catSelectivity	NA	10.8879430737211
12	1	catSelectivity	NA	4.26729725907308
13	1	catSelectivity	NA	8.04520811131404
14	1	catSelectivity	NA	9.07115521165699
15	1	catSelectivity	NA	8.99032342295668
16	1	catSelectivity	NA	13.5351713631804
17	1	catSelectivity	NA	5.8336630984642
18	1	catSelectivity	NA	11.7778334739815
19	1	catSelectivity	NA	12.0831513866631
20	1	catSelectivity	NA	10.5722335998281
1	1	contSD	NA	15.4799007290342
2	1	contSD	NA	9.06952308626798
3	1	contSD	NA	14.3686216216276
4	1	contSD	NA	14.4394677525138
5	1	contSD	NA	8.32307368636956
6	1	contSD	NA	14.8963912827403
7	1	contSD	NA	17.6855502642954
8	1	contSD	NA	3.20182762409278
9	1	contSD	NA	5.77345732565885
10	1	contSD	NA	6.9986622845127
11	1	contSD	NA	12.9056902887306
12	1	contSD	NA	14.9038394123428
13	1	contSD	NA	11.5000964196987
14	1	contSD	NA	15.0294896637885
15	1	contSD	NA	8.37559406095577
16	1	contSD	NA	9.5490983370936
17	1	contSD	NA	8.6508052945986
18	1	contSD	NA	7.7348449361534
19	1	contSD	NA	10.8575743767121
20	1	contSD	NA	10.5150626856231
1	2	contSD	NA	17.4799007290342
2	2	contSD	NA	11.069523086268
3	2	contSD	NA	16.3686216216276
4	2	contSD	NA	16.4394677525138
5	2	contSD	NA	10.3230736863696
6	2	contSD	NA	16.8963912827403
7	2	contSD	NA	19.6855502642954
8	2	contSD	NA	5.20182762409278
9	2	contSD	NA	7.77345732565885
10	2	contSD	NA	8.9986622845127
11	2	contSD	NA	14.9056902887306
12	2	contSD	NA	16.9038394123428
13	2	contSD	NA	13.5000964196987
14	2	contSD	NA	17.0294896637885
15	2	contSD	NA	10.3755940609558
16	2	contSD	NA	11.5490983370936
17	2	contSD	NA	10.6508052945986
18	2	contSD	NA	9.7348449361534
19	2	contSD	NA	12.8575743767121
20	2	contSD	NA	12.5150626856231
1	3	contSD	NA	13.4799007290342
2	3	contSD	NA	7.06952308626798
3	3	contSD	NA	12.3686216216276
4	3	contSD	NA	12.4394677525138
5	3	contSD	NA	6.32307368636956
6	3	contSD	NA	12.8963912827403
7	3	contSD	NA	15.6855502642954
8	3	contSD	NA	1.20182762409278
9	3	contSD	NA	3.77345732565885
10	3	contSD	NA	4.9986622845127
11	3	contSD	NA	10.9056902887306
12	3	contSD	NA	12.9038394123428
13	3	contSD	NA	9.50009641969869
14	3	contSD	NA	13.0294896637885
15	3	contSD	NA	6.37559406095577
16	3	contSD	NA	7.5490983370936
17	3	contSD	NA	6.6508052945986
18	3	contSD	NA	5.7348449361534
19	3	contSD	NA	8.85757437671212
20	3	contSD	NA	8.51506268562315
1	1	nCat	NA	3
2	1	nCat	NA	4
3	1	nCat	NA	2
4	1	nCat	NA	2
5	1	nCat	NA	3
6	1	nCat	NA	5
7	1	nCat	NA	3
8	1	nCat	NA	2
9	1	nCat	NA	4
10	1	nCat	NA	2
11	1	nCat	NA	4
12	1	nCat	NA	3
13	1	nCat	NA	2
14	1	nCat	NA	3
15	1	nCat	NA	4
16	1	nCat	NA	3
17	1	nCat	NA	3
18	1	nCat	NA	2
19	1	nCat	NA	3
20	1	nCat	NA	4
1	1	pCatGuess	NA	0.924266956930022
2	1	pCatGuess	NA	0.696498023504824
3	1	pCatGuess	NA	0.527921824355052
