pnum	cond	param	cat	value
1	1	catMu	0	286.603834797442
1	1	catMu	1	144.908012378588
1	1	catMu	2	239.335936583206
1	1	catMu	3	121.415822095424
1	1	catMu	4	95.8489920068532
1	1	catMu	5	170.293135779351
1	1	catMu	6	1.3475945904851
1	1	catMu	7	217.241239457577
1	1	catMu	8	73.621314997226
2	1	catMu	0	22.5928231436759
2	1	catMu	1	266.08075298667
2	1	catMu	2	142.868334103748
2	1	catMu	3	70.5096623450518
2	1	catMu	4	288.211131337658
2	1	catMu	5	333.726215805486
3	1	catMu	0	143.65762168318
3	1	catMu	1	335.422294416279
3	1	catMu	2	168.907558376715
3	1	catMu	3	217.764139451087
3	1	catMu	4	97.282015253976
3	1	catMu	5	285.94461661689
4	1	catMu	0	169.304626677185
4	1	catMu	1	336.242636111006
4	1	catMu	2	1.59208849221468
4	1	catMu	3	217.308728346974
4	1	catMu	4	96.5359362266958
5	1	catMu	0	167.776328418776
5	1	catMu	1	48.7614533253014
5	1	catMu	2	357.848124434799
5	1	catMu	3	289.770018815249
6	1	catMu	0	47.3705201413482
6	1	catMu	1	216.628106211126
6	1	catMu	2	166.802957821637
6	1	catMu	3	96.5389836162329
7	1	catMu	0	290.24433699511
7	1	catMu	1	311.891519893706
7	1	catMu	2	334.87807495147
7	1	catMu	3	119.31739339605
7	1	catMu	4	167.060768598318
7	1	catMu	5	217.706038763747
7	1	catMu	6	242.206675778702
7	1	catMu	7	22.6559471737593
8	1	catMu	0	167.316002201289
8	1	catMu	1	119.327612355351
8	1	catMu	2	358.421273439378
8	1	catMu	3	217.792507805675
8	1	catMu	4	191.56819772087
8	1	catMu	5	288.912170494348
8	1	catMu	6	242.192544668913
8	1	catMu	7	50.2721904996783
9	1	catMu	0	96.4832497347146
9	1	catMu	1	190.12615493685
9	1	catMu	2	214.219190207496
9	1	catMu	3	334.39621806778
9	1	catMu	4	142.776576292142
9	1	catMu	5	240.069283651561
9	1	catMu	6	25.4559710796922
9	1	catMu	7	266.300949100032
9	1	catMu	8	312.934124666825
9	1	catMu	9	72.7756761386991
10	1	catMu	0	118.536710384488
10	1	catMu	1	213.645810426772
10	1	catMu	2	49.7090601112694
10	1	catMu	3	190.44970263429
10	1	catMu	4	96.6921604949981
10	1	catMu	5	143.374606473371
10	1	catMu	6	334.407156088203
10	1	catMu	7	263.834302828833
11	1	catMu	0	191.736301592365
11	1	catMu	1	95.4608261872083
11	1	catMu	2	70.957807161659
11	1	catMu	3	142.937843711302
11	1	catMu	4	263.966327118874
11	1	catMu	5	216.434311689064
11	1	catMu	6	312.437544764578
11	1	catMu	7	22.4111597243696
11	1	catMu	8	119.903399703652
11	1	catMu	9	168.599369803816
12	1	catMu	0	117.755403254181
12	1	catMu	1	264.804550709948
12	1	catMu	2	287.20505059585
12	1	catMu	3	239.034414792806
12	1	catMu	4	98.2728063415736
13	1	catMu	0	97.1428824227303
13	1	catMu	1	216.194652546197
13	1	catMu	2	118.500452788174
13	1	catMu	3	337.322731598094
13	1	catMu	4	48.4753123987466
13	1	catMu	5	190.096419424564
14	1	catMu	0	47.4417890399694
14	1	catMu	1	240.352518345416
14	1	catMu	2	289.583707299829
14	1	catMu	3	145.744099853933
14	1	catMu	4	74.3158950660378
15	1	catMu	0	217.371233595908
15	1	catMu	1	69.7790808375925
15	1	catMu	2	289.89609619081
15	1	catMu	3	311.340416304767
15	1	catMu	4	46.8248676113784
15	1	catMu	5	170.101922481135
15	1	catMu	6	1.70784464478493
15	1	catMu	7	238.099571071565
15	1	catMu	8	96.6938395634293
15	1	catMu	9	118.353567045182
15	1	catMu	10	262.96334291473
16	1	catMu	0	335.640742335096
16	1	catMu	1	141.605326207727
16	1	catMu	2	121.733127912506
16	1	catMu	3	215.860497524589
16	1	catMu	4	167.068473707512
17	1	catMu	0	262.362422310188
17	1	catMu	1	170.276617352664
17	1	catMu	2	24.4063774421811
17	1	catMu	3	237.899742140248
17	1	catMu	4	311.52028780058
17	1	catMu	5	95.3614340901375
17	1	catMu	6	288.959188514203
17	1	catMu	7	359.671479882672
17	1	catMu	8	120.026467659697
18	1	catMu	0	24.9414467979223
18	1	catMu	1	168.964644008875
18	1	catMu	2	263.371422157064
18	1	catMu	3	289.476734098792
18	1	catMu	4	142.520028064772
18	1	catMu	5	359.261403248459
18	1	catMu	6	98.3092684585601
19	1	catMu	0	142.775191539153
19	1	catMu	1	118.130455331504
19	1	catMu	2	289.862386632711
19	1	catMu	3	23.7059037555009
19	1	catMu	4	312.338219875842
19	1	catMu	5	1.34272752776742
19	1	catMu	6	168.78662424311
20	1	catMu	0	144.321210942417
20	1	catMu	1	47.4835590228438
20	1	catMu	2	94.186809726432
20	1	catMu	3	217.795803513005
20	1	catMu	4	70.0953561477363
20	1	catMu	5	190.066685317084
20	1	catMu	6	261.76494051218
1	1	catSD	NA	7.06960821681916
2	1	catSD	NA	6.22200934884837
3	1	catSD	NA	6.76696765576123
4	1	catSD	NA	4.53801117415497
5	1	catSD	NA	4.54595055030162
6	1	catSD	NA	4.28906623015502
7	1	catSD	NA	6.4510414710284
8	1	catSD	NA	6.84615635220695
9	1	catSD	NA	6.53146600080227
10	1	catSD	NA	4.19348106957384
11	1	catSD	NA	8.1783308696
12	1	catSD	NA	4.0178984954237
13	1	catSD	NA	4.15607542207301
14	1	catSD	NA	13.2222465605172
15	1	catSD	NA	2.98567290076401
16	1	catSD	NA	2.07823622628505
17	1	catSD	NA	3.47122325599297
18	1	catSD	NA	1.55730213648625
19	1	catSD	NA	6.17374351642811
20	1	catSD	NA	4.75942226615016
1	1	catSelectivity	NA	14.4158331173776
2	1	catSelectivity	NA	12.4649845209816
3	1	catSelectivity	NA	5.92543645715126
4	1	catSelectivity	NA	10.1383157589473
5	1	catSelectivity	NA	8.71839188583381
6	1	catSelectivity	NA	10.6901938666887
7	1	catSelectivity	NA	10.3109966694895
8	1	catSelectivity	NA	15.1162927771109
9	1	catSelectivity	NA	13.8272700140564
10	1	catSelectivity	NA	6.80082514297658
11	1	catSelectivity	NA	16.2113578069392
12	1	catSelectivity	NA	8.90093980841287
13	1	catSelectivity	NA	7.56135518116932
14	1	catSelectivity	NA	16.1942162933351
15	1	catSelectivity	NA	14.9236858290494
16	1	catSelectivity	NA	10.3182035191335
17	1	catSelectivity	NA	13.0349660695051
18	1	catSelectivity	NA	8.96248441796114
19	1	catSelectivity	NA	16.9061900208393
20	1	catSelectivity	NA	12.8549468368528
1	1	contSD	NA	7.0941313285766
2	1	contSD	NA	10.1466057919213
3	1	contSD	NA	12.7386151779371
4	1	contSD	NA	23.2153005554583
5	1	contSD	NA	9.0262088328821
6	1	contSD	NA	7.7655441196585
7	1	contSD	NA	7.94164316505201
